Date,T1,T2,T3,T4,T5,Close
1978-02-06,-1.0293166544332801,-1.0322394281229266,-1.0323020662040736,-1.0332739667534825,-1.0326213183595967,-1.0320616167958
1978-02-13,-1.0322394281229266,-1.0323020662040736,-1.0332739667534825,-1.0326213183595967,-1.0320616167958,-1.0337326391541393
1978-02-20,-1.0323020662040736,-1.0332739667534825,-1.0326213183595967,-1.0320616167958,-1.0337326391541393,-1.0344741932115886
1978-02-27,-1.0332739667534825,-1.0326213183595967,-1.0320616167958,-1.0337326391541393,-1.0344741932115886,-1.0349550920281363
1978-03-06,-1.0326213183595967,-1.0320616167958,-1.0337326391541393,-1.0344741932115886,-1.0349550920281363,-1.034520666626633
1978-03-13,-1.0320616167958,-1.0337326391541393,-1.0344741932115886,-1.0349550920281363,-1.034520666626633,-1.0328516648515564
1978-03-20,-1.0337326391541393,-1.0344741932115886,-1.0349550920281363,-1.034520666626633,-1.0328516648515564,-1.0324131982835278
1978-03-27,-1.0344741932115886,-1.0349550920281363,-1.034520666626633,-1.0328516648515564,-1.0324131982835278,-1.0329526940146967
1978-04-03,-1.0349550920281363,-1.034520666626633,-1.0328516648515564,-1.0324131982835278,-1.0329526940146967,-1.0328940971000753
1978-04-10,-1.034520666626633,-1.0328516648515564,-1.0324131982835278,-1.0329526940146967,-1.0328940971000753,-1.0313119804052993
1978-04-17,-1.0328516648515564,-1.0324131982835278,-1.0329526940146967,-1.0328940971000753,-1.0313119804052993,-1.0281053147672286
1978-04-24,-1.0324131982835278,-1.0329526940146967,-1.0328940971000753,-1.0313119804052993,-1.0281053147672286,-1.025822055680259
1978-05-01,-1.0329526940146967,-1.0328940971000753,-1.0313119804052993,-1.0281053147672286,-1.025822055680259,-1.025474515359057
1978-05-08,-1.0328940971000753,-1.0313119804052993,-1.0281053147672286,-1.025822055680259,-1.025474515359057,-1.0255472563565178
1978-05-15,-1.0313119804052993,-1.0281053147672286,-1.025822055680259,-1.025474515359057,-1.0255472563565178,-1.023290264851965
1978-05-22,-1.0281053147672286,-1.025822055680259,-1.025474515359057,-1.0255472563565178,-1.023290264851965,-1.0246743643869862
1978-05-29,-1.025822055680259,-1.025474515359057,-1.0255472563565178,-1.023290264851965,-1.0246743643869862,-1.024798125111833
1978-06-05,-1.025474515359057,-1.0255472563565178,-1.023290264851965,-1.0246743643869862,-1.024798125111833,-1.0220617502281797
1978-06-12,-1.0255472563565178,-1.023290264851965,-1.0246743643869862,-1.024798125111833,-1.0220617502281797,-1.0233084501013303
1978-06-19,-1.023290264851965,-1.0246743643869862,-1.024798125111833,-1.0220617502281797,-1.0233084501013303,-1.0257856851815286
1978-06-26,-1.0246743643869862,-1.024798125111833,-1.0220617502281797,-1.0233084501013303,-1.0257856851815286,-1.027002076305737
1978-07-03,-1.024798125111833,-1.0220617502281797,-1.0233084501013303,-1.0257856851815286,-1.027002076305737,-1.0275814785563464
1978-07-10,-1.0220617502281797,-1.0233084501013303,-1.0257856851815286,-1.027002076305737,-1.0275814785563464,-1.0259533935923415
1978-07-17,-1.0233084501013303,-1.0257856851815286,-1.027002076305737,-1.0275814785563464,-1.0259533935923415,-1.0244824089770197
1978-07-24,-1.0257856851815286,-1.027002076305737,-1.0275814785563464,-1.0259533935923415,-1.0244824089770197,-1.0232235856042924
1978-07-31,-1.027002076305737,-1.0275814785563464,-1.0259533935923415,-1.0244824089770197,-1.0232235856042924,-1.0198067793068897
1978-08-07,-1.0275814785563464,-1.0259533935923415,-1.0244824089770197,-1.0232235856042924,-1.0198067793068897,-1.018192333279909
1978-08-14,-1.0259533935923415,-1.0244824089770197,-1.0232235856042924,-1.0198067793068897,-1.018192333279909,-1.0176669816315795
1978-08-21,-1.0244824089770197,-1.0232235856042924,-1.0198067793068897,-1.018192333279909,-1.0176669816315795,-1.0175033143872927
